"Species" "Area" "Mean" "StdDev" "Mode" "Perim" "Width" "Height" "Major" "Minor" "Angle" "Circ" "Feret" "IntDen" "Median" "Skew" "Kurt"
"1223" "Taeniopteryxnebulose" 33727 64.618 36.52 28 4086.877 614 377 292.93 146.597 173.111 0.025 636.044 2179358 53 0.533 -1.091
"1224" "Taeniopteryxnebulose" 33603 49.089 39.03 0 2390.844 416 452 307.633 139.077 41.085 0.074 531.008 1649540 38 0.822 -0.417
"1225" "Taeniopteryxnebulose" 33487 64.694 37.544 30 2751.961 545 287 334.777 127.36 14.649 0.056 564.164 2166407 54 0.546 -1.033
"1226" "Taeniopteryxnebulose" 33114 81.577 24.744 66 2952.079 329 481 302.271 139.484 68.16 0.048 484.517 2701326 74 0.897 -0.214
"1227" "Taeniopteryxnebulose" 33099 57.083 40.205 0 2866.402 466 597 334.927 125.827 68.664 0.051 694.537 1889404 50 0.43 -0.963
"1228" "Taeniopteryxnebulose" 32663 61.567 39.494 21 2104.785 481 175 336.456 123.606 0.215 0.093 484.434 2010954 48 0.566 -1.033
"1229" "Taeniopteryxnebulose" 32647 46.866 45.937 0 3076.446 465 396 318.177 130.642 19.846 0.043 580.404 1530022 30 0.616 -1.046
"1230" "Taeniopteryxnebulose" 32592 79.253 27.41 65 2905.302 340 480 333.578 124.401 99.65 0.049 510 2583016 71 0.725 -0.526
"1231" "Taeniopteryxnebulose" 32279 78.125 30.652 53 3254.127 360 516 247.978 165.736 91.81 0.038 532.124 2521811 73 0.407 -0.995
"1232" "Taeniopteryxnebulose" 32221 66.26 31.707 39 1893.214 441 202 308.093 133.158 175.992 0.113 442.309 2134976 58 0.805 -0.43
"1233" "Taeniopteryxnebulose" 32169 66.963 38.459 59 3173.985 545 336 319.354 128.255 161.326 0.04 561.956 2154141 65 0.144 -0.96
"1234" "Taeniopteryxnebulose" 32025 73.878 34.221 42 2100.099 310 336 241.042 169.163 114.404 0.091 369.207 2365935 65 0.439 -1.073
"1235" "Taeniopteryxnebulose" 31822 66.851 39.499 64 3370.328 579 298 272.838 148.502 4.493 0.035 617.282 2127336 66 0.157 -1.045
